id,question,gold,n_entities,n_entities_present,all_entities_present,substring_covered,context_chars
5a76f45a5542994aec3b719b,"What band formed in 1995 and came out with an album called ""Welcome Interstate Managers'?",Fountains of Wayne,3,3,True,True,45605
5ae53de455429908b6326599,The creek of which Paradise Creek is a tributary is a tributary of what river?,Delaware River,3,3,True,True,43050
5ae40b2b55429970de88d8b3,In between  Polytechnic University of the Philippines and California Polytechnic State University which was founded as a vocational high school?,California Polytechnic State University,3,3,True,True,46208
5ac2a277554299657fa28ff3,The Soul of a Butterfly is an autobiography of a professional boxer that was born in what year?,1942,3,3,True,True,47467
5abcf84d55429959677d6b86,Mexican Indignados Movement is a response to a war also known as?,Mexican War on Drugs,3,3,True,True,44653
5a820f2f554299676cceb1ff,"Although Michael Fincke's record was broken by Scott Kelly, commander of the International Space Station (ISS) on Expeditions 26, 45, and 46, what was his record for the most time in space?",381.6 days,3,3,True,True,45432
5a8545ba5542997b5ce3ffdd,"How does this series represent a function, which is also used in the Homotopy analysis method?",infinite sum of terms,3,3,True,True,46341
5ae1a7c8554299234fd042b0,Which American anthology horror series created and produced by Ryan Murphy and Brad Falchuk did  Denis O'Hare filmography performance in the first season of ,American Horror Story,3,3,True,True,49129
5a74524455429979e28828f6,"which star of Hwarang: The Poet Warrior Youth was born on November 16, 1991 ?",Park Hyung-Sik,3,3,True,True,39644
5a829c1d55429966c78a6a67,What did  the man who  led Sweden to military supremacy during the Thirty Years' War found in 1623?,court in Åbo,3,3,True,True,43358
5a8e8f6f5542995085b37451,"Which has a higher population, Qinzhou or Jingjiang? ",Jingjiang,3,3,True,True,40929
5ae8202255429952e35eaa3a,What Japanese fashion label was founded by the creator of Dover Street Market?,Comme des Garçons,3,3,True,True,44021
5a710a1e5542994082a3e4fd,"What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage?",Flavivirus,3,3,True,True,41150
5a80ecea55429938b6142254,My Secret Hotel is a television series starring a South Korean DJ who rose to fame as the lead actress in what?,Queen In-hyun's Man,3,3,True,True,40901
5adcdf455542994ed6169c11,What where both Hawker Hurricane and No. 1455 Flight apart of?,Royal Air Force,3,3,True,True,44115
5a848a685542997b5ce3feae,Who was the brother of the wife of the Democratic Party nomination for Vice President in 1972?,President John F. Kennedy,3,3,True,True,45304
5a8832d355429938390d3f03,Who was the ruler ousted by the 30th Prime Minister of Cambodia after Khmer Rouge's victory over the Lon Nol government?,Prince of Cambodia Norodom Sihanouk,3,2,False,False,43016
5a7558425542992db9473647,What subsidiary of the largest airline of the Republic of China (Taiwan) has a main hub at Taichung Airport?,Mandarin Airlines,3,3,True,True,43253
5abff9905542997d64295980,"Egremont Castle is located in what market town, civil parish, and two electoral wards in the Borough of Copeland in Cumbria, England?",Egremont,3,3,True,True,42561
5ab55a9b5542992aa134a2ba, Legends of the Fall was based on a novella by what poetry and fiction writer?,James Harrison,3,3,True,True,40599
5a7631cd5542994ccc91870c,Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?,"Franconia, New Hampshire",3,2,False,False,43541
