id,question,gold,n_entities,n_entities_present,all_entities_present,substring_covered,context_chars
9d054e980bdd11eba7f7acde48001122,Where does Juan Carlos Gumucio's wife work at?,Sunday Times,3,3,True,True,43770
5cbb015f087511ebbd67ac1f6bf848b6,"Which film has the director died later, The Glass Wall or Where Does It Hurt??",Where Does It Hurt?,6,4,False,True,40812
435f65fa0baf11ebab90acde48001122,Who is the father-in-law of Sisowath Kossamak?,Norodom Sutharot,3,3,True,True,34389
607cb64a0bde11eba7f7acde48001122,Where did Binyamin Ze'Ev Kahane's father die?,Manhattan,3,3,True,True,38322
8474fb5e08a811ebbd7fac1f6bf848b6,"Which film has the director who died later, Jára Cimrman Lying, Sleeping or Mr. Ace?","Jára Cimrman Lying, Sleeping",6,6,True,True,38615
0c39da2e085811ebbd5aac1f6bf848b6,"Which film has the director who is older, Four Days In November or The Romance Of Tarzan?",The Romance Of Tarzan,6,3,False,True,38551
6a419ba2087611ebbd67ac1f6bf848b6,"Which film has the director who is older than the other, Ven Mi Corazón Te Llama or Waking The Dead (Film)? ",Ven Mi Corazón Te Llama,6,5,False,True,39197
843ef89008fa11ebbdacac1f6bf848b6,"Who is younger, Denise Kandel or Bruce Robinson?",Bruce Robinson,4,2,False,False,40388
f48d94d00bd911eba7f7acde48001122,When did Marzuban Ibn Muhammad's father die?,953,3,3,True,True,35076
3ab846860bde11eba7f7acde48001122,Where did the composer of film Camille (1926 Feature Film) die?,Ukiah,3,1,False,False,37011
f775073c086b11ebbd60ac1f6bf848b6,Are both The Pledge (Film) and Mother Of George from the same country?,yes,4,4,True,True,42541
a5a591200bdd11eba7f7acde48001122,Where did Ștefan I. Nenițescu's father study?,Leipzig University,3,3,True,True,37602
bc5a9fef086c11ebbd61ac1f6bf848b6,"Who died later, Giovanni Dei Conti Di Segni or Sakari Simelius?",Sakari Simelius,4,4,True,True,37814
c7417f2208d811ebbd9cac1f6bf848b6,Did R. D. Call and Taryn Power share the same nationality?,yes,3,3,True,False,38710
3bb9c0740bb011ebab90acde48001122,Who is Sibyl Hathaway's child-in-law?,Mary Lawson,3,3,True,True,39303
7c7bf2d308c011ebbd8aac1f6bf848b6,"Which film has the director who died earlier, Notes On The Port Of St. Francis or De Luxe Annie?",De Luxe Annie,6,5,False,True,38388
6bb80b9c087b11ebbd68ac1f6bf848b6,"Who is younger, Ebtissam Mohamed or Beekman Du Barry?",Ebtissam Mohamed,4,4,True,True,42648
9aa8008408de11ebbd9eac1f6bf848b6,"Which film has the director born later, Christ Walking On The Water or 45 Fathers?",45 Fathers,6,4,False,True,39008
f34d188608cb11ebbd93ac1f6bf848b6,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",I'Ll Be Going Now,7,4,False,True,38565
47bb70600bde11eba7f7acde48001122,Which country the performer of song I Like Control is from?,American,3,3,True,True,42162
69c0bb76087711ebbd67ac1f6bf848b6,"Which film has the director who was born first, Autumn Tale or Secrets Of The Reef?",Autumn Tale,7,5,False,True,38285
31df8b0a0bde11eba7f7acde48001122,What is the place of birth of Anne Elizabeth Rector's husband?,Jersey City,3,2,False,False,42396
ea3ca41f09b811ebbdb0ac1f6bf848b6,Are Puka Puka (Chumbivilcas) and Inka Pirqa both located in the same country?,yes,3,3,True,False,38873
ec5882f008bb11ebbd88ac1f6bf848b6,"Which film has the director who was born later, The Devil And Miss Jones or The Man In The Funny Suit?",The Man In The Funny Suit,6,4,False,True,39814
2084260e0bde11eba7f7acde48001122,Where did Theodore Salisbury Woolsey's father study?,Yale College,3,3,True,True,40262
b66d42be0bdd11eba7f7acde48001122,Where was the place of death of Neferneferure's mother?,Amarna,3,3,True,True,39306
a5e0af240bda11eba7f7acde48001122,Where was the place of death of the director of film The Song Of The Old Days?,Yerevan,3,1,False,False,40394
381f9d94086811ebbd5eac1f6bf848b6,"Who is younger, Alfred Staines or George Sidney?",George Sidney,4,4,True,True,43628
1691ef940bdb11eba7f7acde48001122,Which country Benjamin Pierce Cheney Jr.'s wife is from?,Canadian,3,2,False,False,39783
b0b2952008d311ebbd96ac1f6bf848b6,"Who was born later, Mickey Hart or Tony Owen?",Tony Owen,4,4,True,True,38295
9cdcbb3e0bda11eba7f7acde48001122,Where did the director of film Ave Caesar! die?,London,3,3,True,True,38184
6152f66c08df11ebbda0ac1f6bf848b6,"Which film has the director who was born later, Bárbara Atómica or Three Lucky Fools?",Bárbara Atómica,6,5,False,True,40742
29524701085711ebbd5aac1f6bf848b6,"Which film has the director who died first, Karin Daughter Of Ingmar or The Man In The Trunk?",The Man In The Trunk,7,5,False,True,39328
49ba338e08b511ebbd88ac1f6bf848b6,"Which film was released more recently, Die Mutter or Where Are You Going All Naked??",Where Are You Going All Naked?,4,4,True,True,41974
e140bb540bda11eba7f7acde48001122,Where was the place of death of Princess Yolanda Of Savoy's father?,"Alexandria, Egypt",3,2,False,False,40149
4e9561d40bd911eba7f7acde48001122,What is the place of birth of Marisabel Rodríguez De Chávez's husband?,Sabaneta,3,3,True,True,41121
9f3d48340bdb11eba7f7acde48001122,Where was the place of death of Licinia Eudoxia's father?,Constantinople,3,3,True,True,39589
