id,question,gold,n_entities,n_entities_present,all_entities_present,substring_covered,context_chars
3hop1__390673_228453_86925,What is the manufacturer of the Kentucky Tavern headquarters location saints symbol called?,fleur - de-lis,3,1,False,False,44566
3hop2__9951_20335_9331,"What dissolved the privileges in Poland of the empire that the British sided with against the Ottomans, the Kingdom that acquired some Thuringian territory in 1815, and the Habsburg Monarchy?",March Constitution of Poland,3,2,False,True,45197
2hop__693444_220151,Who is the spouse of Young Man Luther's author?,Joan Erikson,2,1,False,False,42715
4hop1__606685_508773_85832_745702,Whose father was a navigator who explored the east coast of the continental region where Sergio Villanueva would later be born?,Sebastian Cabot,4,4,True,True,46070
3hop2__30152_105395_20999,"How were the people that the Somali Muslim Ajuran Empire made coins to proclaim independence from, expelled from the country where Star Cola is produced?",The dynasty regrouped and defeated the Portuguese,3,2,False,False,45961
3hop1__102087_214799_259594,"What is the three letter abbreviation for the country, which maintains border troops, that claims Bernd Baumgart as a citizen?",GDR,3,1,False,True,46013
3hop1__617062_127905_86588,What is the longest home run in the history of the league that Jim Wilson's team is a part of?,582 feet (177 m),3,3,True,True,40682
2hop__73717_653666,Who was the mother of the person who found the sacred writings that became the Book of Mormon?,Lucy Mack Smith,2,2,True,True,46632
2hop__569582_304416,What record label is the performer of Almost Made Ya signed to?,Derrty Entertainment,2,2,True,True,41706
3hop1__373866_5189_63702,When did the U.S. and the country in effective control of political and military functions of the group the People's Socialist Republic of Albania was a member of become allies?,June 1941,3,3,True,True,50740
2hop__390947_232243,What is the goal of the group that European Movement Germany is a member of?,European integration,2,2,True,True,52777
3hop2__132957_295815_40768,"When did the maker of the Acura Legend, the manufacturer of Toyopet Master, and Nissan open US assembly plants?",1981,3,3,True,True,40966
3hop1__139787_88110_77129,What was the first OS to support Hyper-V from the company the letters MS stands for in the network that broadcasts Buchanan & Press?,Windows 8,3,3,True,True,43244
2hop__242938_18803,What did M. King Hubbert's employer announce it was in the process of doing in April 2010?,trying to find a potential buyer for all of its operations in Finland,2,1,False,True,43365
2hop__998_25839,What is the maximum load drawn by the 1.0 and 2.0 versions of the device that replaced FireWire in later iPods?,five unit loads,2,2,True,True,47046
3hop1__145212_443779_52195,Arie Supriyatna's birth country was one participant in a Commission of Truth and Friendship. Who is the president of the other country that participated?,Francisco Guterres,3,2,False,False,41154
2hop__821197_368148,In which county is Southern Maryland Electric Cooperative headquartered?,Charles County,2,2,True,True,46602
3hop1__639955_834494_34099,How long are the council terms of the city that shares a county with Helvetia?,four-year,3,3,True,True,41406
4hop3__524186_219173_638950_72134,When did the city where Greenwood Laboratory School is located become capitol of the state where the screenwriter of The Poor Boob was born?,1839,4,3,False,False,42217
2hop__92385_2072,What is the public library system called in the place where the Cosbys live in New York?,Brooklyn Public Library,2,2,True,True,45823
3hop1__857_846_7791,How many parties rule the city where the Yongle emperor greeted the person to whom the edict was addressed?,one-party,3,2,False,False,44344
2hop__363216_787353,Where is the headquarters of the 1st Combat Communication Squadron located?,Ramstein-Miesenbach,2,1,False,False,43355
3hop1__9285_5188_63702,"When did the country where the top-ranking Warsaw Pact operatives originated, despite its being headquartered in the nation known as the nobilities commonwealth, become allies with the US?",June 1941,3,3,True,True,50727
2hop__56806_7298,What pop artist started his career on adult contemporary radio along with the subject of the song The One That Got Away?,Michael Bublé,2,2,True,True,46266
2hop__347686_127399,In what year was the group who performed Attics To Eden formed?,2005,2,2,True,True,44153
2hop__586343_83289,Who is the guy in the video of the performer of One Last Time?,Matt Bennett,2,2,True,True,43905
2hop__88372_83837,Who sings home alone tonight with the singer of you can crash my party anytime?,Karen Fairchild,2,2,True,True,41754
3hop1__152880_131926_90707,Where does the body of water by the city Astronautalis is from and the Ohio River meet?,"at the city of Cairo, Illinois",3,3,True,True,45838
2hop__88149_807969,The all time top goal scorer in premier league in one season is a member of what team?,Egypt national football team,2,1,False,False,45273
2hop__51760_122023,What is the name of the university that educated the character that Mel Brooks plays in Mr. Peabody and Sherman?,Luitpold Gymnasium,2,1,False,False,42551
2hop__273020_57594,What gun was used by Pollack's director in Westworld?,LeMat revolver,2,2,True,True,42749
3hop1__662413_42197_18397,Where did the arguer that Kirill Eskov's country of citizenship had become an imperialist power declare he would intervene in the Korean conflict?,the Politburo,3,3,True,True,44352
2hop__61318_362941,What is the place of birth of the person who submitted the first version of the equal rights amendment to congress in 1923?,Mount Laurel Township,2,1,False,False,49815
2hop__52283_75184,Who play's Marty's girlfriend in back to the future?,Claudia Wells,2,2,True,True,46581
2hop__747667_52835,Who wrote Turn Me On by the Thinking About You performer?,John D. Loudermilk,2,2,True,True,47663
3hop1__146155_131905_41948,"Besides the body of water by the city where Nicolaus Schuback died and the Irish Channel, what else was lowered in the last cold phase?",English Channel,3,3,True,True,47083
3hop1__857_846_7890,How many places of higher learning are in the city where the Yongle emperor greeted the person to whom the edict was addressed?,75,3,3,True,True,46743
2hop__32254_84601,When did the spacecraft that detected storms on Neptune leave our solar system?,"August 30, 2007",2,2,True,True,49108
4hop1__94201_642284_131926_89261,Where does the body of water by the city where the Southeast Library designer died empty into the Gulf of Mexico?,the Mississippi River Delta,4,2,False,True,45557
